reviewer_name,review_date,review_content
ElizaElite,25-Oct,"We have arrived for Umrah. We were greeted by Ms. Taif from guest relations. What a wonderful service , great English and professionalism. We truly felt welcomed. My husband normally opts Address in this location but I insisted to stay at Marriott Jabal Omar. He was genuinely surprised and liked everything. The rooms very spacious, view is great, mattress and bed in general is great . Mosque at the hotel is spacious and restaurant for breakfast is offering great choice of food at decent price. We will come back again in sha Allah and looking forward to staying at your hotel in the future. Value Rooms Location Cleanliness Service Sleep Quality"
ruksana b,25-Oct,aya was really nice to talk to i would recommend it a lot! she was very friendly and very kind to talk to. she really helped a lot.
ahmed m,25-Oct,aya ma sha allah good working in the lobby thanks aya all staff veey help ful also thanks sajjad food test good over hall every thing is very good
OnAir31514650647,25-Oct,"Very excellent place and a very enjoyable experience Youns al-Restaurant Top Man in Crafts and Crafts Fix everyone with this great experience Truly an excellent place, great food and friendly restaurant manager Value Rooms Location Cleanliness Service Sleep Quality"
Mi Furniture Bradford,25-Oct,Phenomenal service provided by mrs Afrah and Mr Ali. Excellent service provided also Reception team is really good Big Thank you to All… Value Rooms Location Cleanliness Service Sleep Quality
Ahlam A,25-Oct,"We had an amazing stay at Marriot Jabal Omar. The room was clean, spacious, and staff were very friendly. It is also close to the Haram with the option of taking bus or golf cart. A special thank you Afrah at the Olive Restaurant, she was amazing and went above and beyond for us!"
haya S,25-Oct,"We spent 3 days at the hotel with helpful, courteous and accommodating reception staff at the olive diner. Beautiful decor, varied breakfast, delicious, clean and spacious rooms. The location is not far from the field and there are valet cars and buses serving guests throughout the day Value Rooms Location Cleanliness Service Sleep Quality"
Sightseer42598996642,25-Oct,"I like the service and the hospitality specially Afrah the hostess, she engaging well and confident, and remained me about the hotel facilities."
Foreign Resident,25-Oct,"We had a comfortable stay in Marriot Jabal Omar, Makkah. We accomplished our Umrah. Marriot provided the support to make our stay one full of supplications. Room very clean. Staff willing to help. Hardeel welcoming smile to check us in. The convenience of hotel prayer room. Proximity to the Haram made simple by the buses and golf carts"
Soukaina D,25-Oct,"Impeccable experience luxury hotel spacious and very comfortable room We liked the location of the hotel ( golf car H24 to drop you off next to the masjid, the view of the hotel is on alharam Smells good everywhere the corridors Super friendly staff especially the gentleman at the restaurant Welcoming on the first floor very smiling and super friendly The beds are comfortable and wide for single beds. Cleaning Service nothing to say and breakfast is exceptional and varied (protein pastries soup oriental juice mezze varied fruits ..) You hear al adhan from the room you can pray at the hotel also there is a mosque Nothing to say Cons: negatives. The proximity to the hotel is a slight slope which can be a downside for the elderly (but there are golf cars available H24) No bcp staff at reception sometimes we have a little wait.. Cash payments should be avoided because they have no cash We wanted to call Welcoming from the room but it's not indicated in the room or on the landline phone There was a strange smell in the room when we went in we believe that c carpet.. The ubers or mountain bikes are not allowed to pick you up next to the hotel c consecrated only for the private taxi Finally we liked to know that it was possible to take a box of food from the buffet in the morning nobody told us unfortunately... Value Rooms Location Cleanliness Service Sleep Quality"
Moemen A,25-Oct,Quality of the premises and professionalism of the staff. The food is amazing and the value for money is great. The location is convenient and the transportation to and from Harem is very convenient Value Rooms Location Cleanliness Service Sleep Quality
Voyager50682668756,25-Oct,"Thank server Abd al-Ramman at Spice Souk for the second place very respectful and courteous and satisfying customers with delight, professionalism and speed Value Rooms Location Cleanliness Service Sleep Quality"
Camilia M,25-Oct,"From the moment we arrived, the hospitality was outstanding. The rooms were beautifully maintained, comfortable, and inviting. Every member of the staff was warm, helpful, and kind — a special shoutout to Nassir, Harun, and Samir for serving the best Karak we've ever had! The food was absolutely delicious, with a variety of flavorful dishes that made every meal memorable. The hotel’s cleanliness and hygiene standards were also top-notch, creating a comfortable and relaxing atmosphere throughout our stay. Highly recommended — we’ll definitely be coming back!"
Lama A,25-Oct,"Very nice property, kind staff and amazing breakfast! Huge thanks to Samir, Nasser and Haroun for the great service!!!"
Junaid M,25-Oct,"Best hotel experience ever! Wonderful setting next to the Haram, thank you Saud for the excellent hospitality! A true gentlemen!"
Ragdah L,25-Oct,"The hotel is equally flawed by Captain Samir in the buffet reception section. Very decent, kind and helpful Park Allah and reception staff The appetite was very exquisite, delicious and diverse, all delicious and excellent, the seat was peaceful and partly overlooking the grounds, tranquility and serenity"
jhenna g,25-Oct,I have lunch at Atrium coffee with my parents in the Marriott Hotel and how to tell you that I was greeted by the nicest cashier hostess I could see in my life Aya was extraordinary sweetness and especially not knowing the words in English she took the time to guess what I wished without me feeling uncomfortable ??
sadiya B,25-Oct,Afrah and aya and chef Ahmed barakat very professional polite and attentive they help and was patient put us at ease with language barrier aswel
Aly Ahmed,25-Oct,For 6 consecutive years I was happy to stay at the same hotel as Marriott Jebel Omar. A more than excellent hotel in all aspects from the welcoming and guest relations to the clean room level and impeccable service to all the professional staff.
Sahar Mounir,25-Oct,"I sold out my stays from 1/9/2025 for a lifetime performance with Rich Star.... With the most luxurious of the luxurious Maca Hotels, the Marriott Jebel Omar and this eighth time in a row and the last if he is of the rest of the age is my favorite choice for the Marriott Jebel Omar has all the privileges of privacy, tranquility, cleanliness and welcoming.... Thanks for managing Marriott Jebel Omar.... Thank you dear daughter for good guest relations ..... And the daughters here at the reception also all the reception staff are well-maintained and when cooperating with guests also all the staff at the restaurant .... Thank you to all of the caring staff at Mount Omar Marriott Hotel ... Willow, a near-meeting God"
Navigator01239297680,25-Oct,"It was a thrilling experience, especially what we had from sister Agra as she was a sample of the right person in the right place, and my Indonesian practice at Heral, where she was ready to serve everyone."
Haifa B,25-Oct,"Great hotel, great staff, bad staff The first-rate restaurant, great reception staff, great service, more than great reception, great restaurant assistants, all of them, especially brother Samir Mohamed, brother Nasser, responsible for tea and coffee, and also the reception staff, everyone without exception thank you all"
Owais Y,25-Oct,"Breakfast had good daily rotation. Samir, haroon and nasir provided excellent service during breakfast always greeted us with a smile ?? omelette was made beautifully by chef Ghulam Value Rooms Location Cleanliness Service Sleep Quality"
Sightseer04282052471,25-Oct,"What God wants the staff of Nasr, Smear Mohamed, and Haronne have done with the guests and know 10 of 10 delicious and varied foods with their own cupcakes, rolls, and eggs. Value Rooms Location Cleanliness Service Sleep Quality"
khadija l,25-Oct,"An unforgettable stay in a 5-star hotel worthy of the name. Everything was perfect: rooms, cleanliness, gastronomy and above all impeccable Service. Special mention to Radouane and Haroun for their attention, smile and availability. Thanks to them, our experience was even more enjoyable. Thank you to the whole team!"
Mohamadou M,25-Oct,"The service was perfect , particularly M. Younis who was so kind, so mindful and helpful. Thank you for the good service."
Moataz E,25-Oct,Mr Hisham Mohamed Erfan was very professional and have a nice welcoming his way Chief Ahmed really he is one of the professional chief he confused me to attend within a minute really big thinks for him ..
Memudu Q,25-Oct,"Had a pleasant and warm welcome, the staffs are always wanting to help and kind. Nice experience during my stay. Will surely consider coming back"
A M,25-Oct,Great breakfast at the Marriott ..service during breakfast time as great..special thanks to Rezvan Samir for making our morning special
Nabil T,25-Oct,Hello I am very satisfied with the Service of the breakfast they are all friendly helpful listening nothing to say very good experience thank you to Samir Mohammed very kind Value Rooms Location Cleanliness Service Sleep Quality
Siddiq A,25-Oct,"Everything was excellent. Samir, Haroon, Nasir, Ridwan Azeemulah, Kasum, Ali and the entire staff were all fantastic. The food was delicious. The place deserves 10 stars."
ibrar k,25-Oct,"My experience was really good alhamdulillah. We had samir, Haroon, ridwan, and nasir serve us and they did amazing mashallah. They were really great and so respectful."
Kiram C,25-Oct,Very nice location and the greatest service possible. The food selection was amazing. There’s a buffet to choose from a variety of different foods. Special thanks to Mr. Younis
Minha Y,25-Oct,Meal preparation was exceptional Service delivery by Mahmoud was excellent he was professional greeted warmly and polite in engaging with us
Yassine B,25-Oct,"Excellent experience, Hotel was clean, luxurious, very good customer service and very close to Mecca! Warm regards to the team, hope to come back again"
Groma B,25-Oct,"Outstanding experience , food was amazing and polite service from Abul rahman at Jabal omar marriot makkah, see youuu ?? Value Rooms Location Cleanliness Service Sleep Quality"
ahmed k,25-Oct,"Everything is perfect clean , quite friendly people and very helpful so happy for the hospitality and will repeat this experience again for sure"
Tallal D,25-Oct,Amazing experience Great breakfast Great staff Close proximity to Haram frequent shuttle service to and from Haram. Mamunar Rashid served us very well very attentive made sure we had everything we need.
Jane F,25-Oct,"Our stay at this hotel has always been a wonderful experience. From the warm welcome at the reception (especially Mr. Saoud), the housekeeping, to the catering staff during breakfast (especially Mr. Mohamad Alam), everyone is very polite and welcoming to ensure we have our best stay. This is my second stay at this hotel for that very reason. I would definitely stay here whenever I visit again and would recommend others to stay here as well."
Climber30458504120,25-Oct,"Excellent hotel Excellent service Excellent staff Excellent friendly, happy, shiny, clean, well-appointed room service Excellent receptionists and youths"
onur z,25-Oct,The hotel was very good in both location and service. We were especially interested in Saud. Thanks again
Tally S,25-Oct,Youns and Mahmoud were wonderful! They were so attentive and truly showed the cares about their customers! Thank You Marriott for hiring great people.
Ibrahim A,25-Oct,"Very nice hotel and a pleasant experience, I appreciate the staff but the sheltered waves are untreated, honest and kind, and God is tired of it Value Rooms Location Cleanliness Service Sleep Quality"
Waleed K,25-Oct,"The breakfast buffet and the team serving it was amazing. Nasir, Qasim and Suhail were amazing. Chef Ghulam at the egg station was amazing as well custom making parathas on request. Captain Samir was amazing in providing everything we needed. Merhama was amazing in the lounge providing the best experience."
Moqadas H,25-Oct,Amazing experience. Delicious food. Fantastic hospitality. Haron and Osama were especially exceptional and went above and beyond.
Flyer48847176930,25-Oct,"Great experience , Especially the breakfast restaurant and the staff are private Samir Mohamed , Nasr , Nasr , Mohamed Kassem and Captain Samir Thank you, and God bless you, and God writes your reward"
Adam M,25-Oct,MAMUNAR RASHID IS A NICE STAFF AT THE RESTAURANT. HE GAVE US A NICE TREATMENT. It's a pleasure visiting the restaurant at marriot
Ebad M,25-Oct,The service which was provided to us during our stay was amazing. The staff here are very cooperative and friendly. Mr. Manamur Rashid and also Mr. Alam were helpful and friendly.
Abdul z,25-Oct,Osama abdushakur and the other staff went above and beyond at the restaurant to make our stay a real 5 star experience. Thank you and will be visiting again Value Rooms Location Cleanliness Service Sleep Quality
Kareem C,25-Oct,Captain Samir and Samir Mohammed hosted us really well.. they took care of us during the breakfasts of four days of our stay…
Quest33390406552,25-Oct,"Special thanks to the captain samir mohamad, harun, rayah, ridhwan, nasir and all the team for treating us so well. They even surprised us with superb cake! The food was amazing, and the service was excellent.”"
Abdool khan muh... A,25-Oct,Waiter suhail and captain samir gave us a great service Thanks Great food Service very nice Omelette fresh and tasty Overall awesome
Trail65119463877,25-Oct,"Impressive of every aspect , cleanliness , attentiveness , care , service , caring , helpfulness and screenworthiness The stay was very comfortable and easy for me and my happy people Whether the diner, the staff, and specifically Hel, Nasr, Aaron Allah delight them and please you by shelling Shel Ratings 100,000/10.9"
Discover35862384675,25-Sep,"It was incredibly pleasant to be served by Hilda, she is friendly and pleasant and all the guests were served well. Basically, there are Indonesians at the Marriott, it is a good thing to be able to communicate with Indonesians. Value Rooms Location Cleanliness Service Sleep Quality"
Haddy J,25-Sep,Haron was so helpful and patient. Thank you Haron. He guided me through everything with the food service and made the whole process easy
Ahmed H,25-Sep,Very helpful and welcoming staff specially Jaron and samir made sure that I have everything I needed and were always around to help Value Rooms Location Cleanliness Service Sleep Quality
Lahouari B,25-Sep,Mamunur Rashid is the man to know at the breakfast. He made me enjoy the best breakfast in Saudi. Always smiling and looking to the tiny detail !!!@@
Ahmed S,25-Sep,"“My stay at Jabal Omar Marriott Hotel was truly exceptional. The service was outstanding, and every detail was handled with great care. I would like to especially recognize ( Saud Almalki ) for his remarkable hospitality and professionalism. He went above and beyond to ensure my experience was perfect, making me feel genuinely welcomed. I highly recommend this hotel and deeply appreciate the excellent service provided.”"
Adeela,25-Sep,I stayed in this peaceful hotel for a week. The experience was wonderful. The staff is cooperative and very accommodating. Hope keeping is extremely vigilant. The manager Wahed took my complain to the next level and served us quite professionally. Staying at this hotel in Mecca undoubtedly was a best decision. No long waiting for lifts and rooms are totally sound proof. Ambience is extremely good. Would live to come again inshaaAllah
Amir K,25-Sep,"Awesome Hospitality by Chef Ghulam, Samir, Suhail , Ali n Nasser Hi Team, It was a amazing experience and a very comfortable stay. Very prompt room service. Very prompt housekeeping everyday. Shuttle service both cart and bus are very good. Coming to breakfast it has amazing spread from Asian to USA. Chef Ghulam who is a very old Chef over here we meet him every year. His special omelette is amazing very nice person by soul. We got warm hospitality by Mr Samir, Mohd Alam, Suhail most important person Nasser the karack chai by him is amazing and refreshing. Mr Ali at restaurant reception was very good. We also enjoyed 95th Saudi National Day with good activities and food. We are regular customer we choose our stay every year here only because of good hospitality and good staff. Only one feedback reception staff need to be polish on hospitality ground little blunt. Overall we had a wonderful stay."
Flyer39436677008,25-Sep,"Staff: Samir Mohamed, Captain Samir, and Shams of God have served them more than a thousand thanks ????"
Ashiana A,25-Sep,"We are very impressed with the services provided to us by brothers, Harun, Chef Ghulam and Sameer and Ali at the reception and Naim. Our stay here could not have been this good without these brothers. Allhamdullilah for everything team Marriot. We will surely comeback insha Allah."
Mashira,25-Sep,Exceptional performance by staff especially from ammar noor. Menu started becoming a bit too repetitive but the service was great
Rayna N,25-Sep,Amazing very good wow beautiful place very very wow wow wow wow wow amazing service it was amazing staying here and would come here again
Zeenat B,25-Sep,"Our stay has been so comfortable and pleasant Alhamdulillah.Naeem, Haron, Manager Sameer, Chef Gulam were so obliging and always ready to assist. The room service was done almost daily and we couldn’t have stayed at a better hotel only 6 minutes from the Haram. Highly recommended. The golf cart service was the icing on the cake. Value Rooms Location Cleanliness Service Sleep Quality"
Ismail M,25-Sep,"Samee and Haron has been of excellent service to us. A hospitality I have not experienced since I started travelling. Great guys, wonderful service and tasty food. Service"
syed s,25-Sep,It was a great experience to stay at Marriott. Specially I would like to appreciate the lounge attendant Merhama - She was very pleasant and welcoming and serve us very well. Love to come again and enjoy the ambience. .
Quest02939180531,25-Sep,"I had a really good stay at Marriot for my Umrah trip with my family. I stayed for 9 nights. I had booked two rooms, one for my family and the other for my parents. Ali from house keeping was exceptional, he made sure we were always taken care o with clean sheets everyday fresh towels etc. Merhama from the executive lounge was more than exceptional she provided excellent customer service and always made sure we left happy and I really appreciated that. Thank you Jabal Omar Marriot for amazing hospitality will definetly recommend. Value Rooms Location Cleanliness Service Sleep Quality"
Yassir E,25-Sep,Many thanks to Souhail and Mamunur for their warm Welcoming and impeccable Service during breakfast. Their kindness and professionalism made this moment really enjoyable. Thanks to the cook and waiter in their whole
Sultan S,25-Sep,"We had a truly wonderful experience during our stay at this hotel. The breakfast was exceptional, fresh and full of flavor. Hassan warmly welcomed us and provided outstanding service throughout our meal. His omelet was perfectly cooked and absolutely delicious. The entire staff was friendly, polite, and always ready to help, which made us feel comfortable and valued. The hotel environment is clean, peaceful, and well-maintained, creating a relaxing atmosphere. We highly recommend this place to anyone looking for quality food and excellent service. Our best wishes go out to the hotel team and especially to Hassan for his dedication. Value Rooms Location Cleanliness Service Sleep Quality"
Ahm S,25-Sep,"Hotel atmosphere calm and comfortable, Staff friendly and warm Food fits the Indonesian language Distance to Masjidil Haram nearby and there is a service pp to Masjidil Haram sgt help"
Hafiz A,25-Sep,Services are excellent. The staffs are very friendly and helpful. Especially Mr. Mohamed Alam of the Olive Restaurant.
reemabdu V,25-Sep,Had a wonderful experience with your friendly staff haroon he did an amazing service amazing food cleanliness and great service
Mona W,25-Sep,Delicious food and the waiter Haroon is very very nice person. He help us so much thanks for him. Thanks for Marriott for all the service. We are very thankful for their hotel and staff also specially haroon sir ???????????????????????????????????? Value Rooms Location Cleanliness Service Sleep Quality
mohammad kasem h,25-Sep,"Very good experience , Mr. Nasser was very helpful and caring . Mr. Ali welcomed the restaurant more than great. The food is average quality but compared to the area very good. The rooms are clean , I had some health problems in the bathroom but was treated immediately . Super friendly and helpful receptionists Mid-quality field shuttle (golf cart and bus) for the disappointment of unprofessional drivers."
Compass34015535619,25-Sep,"Excellent welcoming, stay, housekeeping was awesome specially the janitor called Jakil. Will keep this hotel as my first selection everytime comi g to Makka. Insider tip: Awesome place Value Rooms Location Cleanliness Service Sleep Quality"
Mubin A,25-Sep,The hotel is amazing because of the proximity to Haraam. Want to give out a special thanks to Merhama for her exceptional service in the lounge. She’s absolutely amazing.
Saleh a,25-Sep,Breakfast is more than great The receptionist's brother is God's willing Brother Aaron is very helpful and blessed by God Very nice coffee
Imaan F,25-Sep,Excellent service from Merhama. Polite and friendly service. Very welcoming and continued to offer to help with plating.
Explore27085719691,25-Sep,"I used a different brand of hotels in Madinah after being a platinum bonvoy member. Upon checking in at Marriott. I felt like I returned home. Service was great. Lounge is ok, there is better, but at least they have one. Mehrama was good in the lounge. I only use hotels from the Marriott Bonvoy range now."
Dua Y,25-Sep,Great experience! Close to Harem and delicious breakfast buffet! Mohamad Alam was so helpful and served us delicious tea
Yusuf Z,25-Sep,"I would not recommend this hotel at all. I booked a room with one double bed, but at check-in the relations manager “upgraded” me to a room with four single beds. Traveling with my wife, this was completely unsuitable. When I asked to change the room, the staff denied any responsibility, even after I showed them my booking confirmation, and dismissively told me “maybe we can do something tomorrow.” For two nights, my wife and I had no choice but to sleep on separate single beds in a cramped room where even basic amenities like the mirror were blocked by beds. Only after repeated arguments did the manager finally change our room on the third night. I did not expect this from a big chain like Marriott. I was not staying for free, nor had I paid less money — I simply expected the room I booked and a reasonable standard of service. Sadly, this experience was extremely frustrating and disappointing. Insider tip: They will probably mess up your room arrangements and tell you that you have booked it wrong. Value Rooms Location Cleanliness Service Sleep Quality"
Brahim R,25-Sep,"Merhama has been wonderful in servicing us at the executive lounge. The service is outstanding, everything is clean, well-organized, and welcoming. She is very attentive to guests’ needs and always friendly, which makes the experience even more enjoyable. Truly excellent service! She makes great coffee!!!"
Zeineb C,25-Sep,Sehr gute service Super nett und freundlich We loved it especially the egyptian guy Ahmed fathi preparing for us delicious food with his friendly smile
Oscar,25-Sep,"Great from all aspects for value Great service at breakfast from chef Ahmed, Osama Abdulshakoor and from Haroon Would come again. Thanks."
Traveler24401092539,25-Sep,"I would like to express to you my sincere thanks and appreciation for the welcoming and outstanding service I found during my stay. The hotel was beautiful and tidy, the atmosphere was very comfortable and every staff member deserved a praise for their good treatment and attention to detail. My experience has been wonderful in every way, and I am happy to be professional and to make guests feel at ease. Value Rooms Location Cleanliness Service Sleep Quality"
Rana A,25-Sep,"The stay at the Marriott was great. The hotel is 5 min away from haram (walking) with coffee shops around. There’s a free shuttle service going from the hotel to the haram. The laundry service is great, fast and cheap ! The staff is amazing, extremely nice and helpful. The food is really good, and its variety as well. Kudos to Hossam who makes great omelets at breakfast ! And the Egyptian night manager (Mohamed I believe ?) who’s stationed at the dinner restaurant. Overall, thank you for making our stay extremely nice. Hope to see you soon inchallah ! Value Rooms Location Cleanliness Service Sleep Quality"
??????? ?,25-Sep,Thanks Marriott Mount Omar We had so much fun with my family I also thank the Rashivan staff who helped me and was nice and respectful Thanks Marriott Thank you management Thanks to Brother Raufuan
Saad A,25-Sep,"We had two wonderful days at this hotel, which is close to the field and with great services. I would like to thank all the attentive staff, their manager A/Jones Al-Hadid and his wonderful team, and a/ mysterious team of customer service. Thank you for the welcoming and kind treatment."
Climber43884213207,25-Sep,I would like to thank all the owners of this top-notch hotel for a great stay and a top-notch welcome with a special thanks to Shef Ahmed Rajab and Shef Mohamed Gurib Ali.
????? ???? ?,25-Sep,"The place is very beautiful and its service and love to thank sheriff Ahmed Rigab and the cleanest stroller for the welcoming and sheriff Mohamed Grib Bagged of the best places, condiments, restaurant and food very nice"
Mohammad B,25-Sep,"Thank God for meeting us and treating them with creation, kindness and smiles whose lips are impeccable. We thank and appreciate you These respected people let us choose not to stay with you"
?????????,25-Sep,"We were in Umra at the Marriott in September 2025, took a package accommodation + breakfast at the Olivia restaurant. dinner paid extra. This is available - buffet. Children 6 and 10 years old passed for free. Very tasty, meat melts in the mouth. Very satisfied with both accommodation and service. All staff is exceptionally friendly, helpful, constantly offer help and ask about our wishes. I would especially like to mention the waiters Mohammed Alem, Nasr, Haron, and another Muhammad in the restaurant. I would also like to mention the chef Ghulman. He prepares eggs in various ways and is always friendly and delicious. Thank you to the hotel for the warm welcome. We will remember our umra with the warmest of memories"
Dalia G,25-Sep,"Very nice staff, especially Haron is a very nice person, he is decent and helpful. Thank you so much for this wonderful experience."
Elhan M,25-Sep,"Really enjoyed our stay at Jabal Omar Hotel! The food was great, and the staff were so kind and patient. A tip for future guests: use the golf cart to get to the masjid instead of the bus, it’s much easier and you won’t get lost. Special thanks to Mohamed Alam and Nacer for their warmth and excellent breakfast service. We’d love to return again!"
Abdirahman F,25-Sep,Our experience with Harun was mashallah very amazing. He listened to us attentively and provided us exactly what we wanted straight away. He is also really nice and approachable. Value Rooms Location Cleanliness Service Sleep Quality
Traveler58155358966,25-Sep,Lovely experience at Marriott hotel jabal Omar with Ridwan would stay here again definitely will come back! Harun was very helpful in the olive restaurant as well!
Joud A,25-Sep,"I had a wonderful experience at this hotel, especially when it came to their attention to dietary needs. The staff were extremely cooperative and understanding about my request for gluten-free food. They went out of their way to ensure that every meal was safe, clearly explained my options, and even offered alternatives when something wasn’t available. It gave me peace of mind to know they took my gluten-free requirements seriously. Their thoughtfulness and effort made my stay not only comfortable but also stress-free. I truly appreciate the excellent service and would highly recommend this hotel to anyone with special dietary needs. Insider tip: There was a lot of building sounds and knocking in my room Value Rooms Location Cleanliness Service Sleep Quality"
saleh almuhanna,25-Sep,"More than great stay Of the best hotels for spiritual trips, reception, and customer relations was great especially the understanding was the biggest Impression of the hotel The hotel''s facilities were good and without a few unforgettable notes"
???? ?,25-Sep,"Thank you for the service and reception, especially the sister-in-law at the reception section. Thank you so much and God bless you next time we'll tap you Value Rooms Location Cleanliness Service Sleep Quality"
gaber M,25-Sep,Very good performance was done by harun. Would love to come back;) I felt comfortable every time Harun has left us wanting nothing
Mahmoud M,25-Sep,Harun has delivered peak performance Harun welcomed us warmly and warmly every time I felt very comfortable. That's exactly what made me decide to come back this place next time.:)
Suliman A,25-Sep,"Very clean and nice hotel, near alhram about 7 min walk but there are gulf cars to take you as near as possible to alharam, they also gave me a late check out, miss Afrah in the reception was very helpful and pleasant. Value Rooms Location Cleanliness Service Sleep Quality"
Mohamad I,25-Sep,"Clean calm excellent breakfast good variety, highly recommended excellent staff very polite. A great hotel and a great location."
George B,25-Sep,"We really enjoyed the Welcoming from the staff who take care of the breakfast. In particular, we thank Ali (receptionist) Haroun (waiter) and Rizwan (chief of staff). Not to mention the various foods that the Hotel offers for breakfast, with a reasonable price. Obviously we also thank the cleaners (very respectful and helpful) and also the Hostess (who explained everything in a very understandable way upon our arrival). Then we appreciated the efficiency in mobile services such as the “golf car” that takes you to the “Haram” mosque (free) and the “bus” that takes you to a “mini market” (also free). In the rooms you hear when they call “the Hasan” and you can pray both in the room and down in the (hotel) mosque. If you come as a family and buy two rooms, they will not be divided but will have a door that allows the passage from one room to another. I highly recommend this Hotel and we think it was one of the best experiences we had here in Makkah. Value Rooms Location Cleanliness Service Sleep Quality"
Syed Ekramul,25-Sep,"Breakfast was a 10/10 experience. From start to finish, Mr. Rizwan's attentive care and personalised service made everything perfect. Truly exceptional hospitality—highly recommended! Value Rooms Location Cleanliness Service Sleep Quality"
Khaled A,25-Sep,"Marriott is Marriott! From the moment I arrived, the service was outstanding. The staff were warm, welcoming, and went above and beyond to make me feel comfortable. The check-in was smooth and efficient, and I was pleasantly surprised by the attention to detail. Value Rooms Location Cleanliness Service Sleep Quality"
A M,25-Sep,"Chef Gulam Mohamed Alam had the pleasure of being served by two outstanding gentlemen at the breakfast buffet, and I couldn’t be more impressed. Both men were extremely welcoming, friendly, and attentive, always making sure everything was well stocked and clean. They carried themselves with professionalism while still being warm and approachable, creating a comfortable atmosphere for all guests. Their positive energy in the morning set the tone for a great day. It’s clear they take pride in their work, and their efforts didn’t go unnoticed. Truly excellent service — I would happily return just to be served by them again!"
Heba A,25-Sep,"Very gimmical A reiterated hotel is spotlessly clean, spacious rooms, food and service in the breakfast section. We thank brother Mohamed Kasim for his service and attention to us and to God."
Amna R,25-Sep,"Excellent food, best service, Muhamad Alam looked after us so well , all staff full of manners. The tea was fantastic ????????????"
Mubashir,25-Sep,Taif was really helpful when we came and she was really kind during our trip The shuttle was really convenient and we had lots of fun during our stay.
Barfi Z,25-Aug,Excellent service close to the mosque and free frequent shuttle service convenient and comfortable stay good family atmosphere
Jamillah H,25-Aug,The staff at the hotel was great. The rooms were clean and neat. The bus to haram was very convenient and came often. I would recommend this hotel.
idris r,25-Aug,"Alhamdulillah it was an amazing experience. Great food, kind host, clean hotel, and very professional receptionist. May Allah reward the Marriott staff…..????? ???? Insider tip: Don’t forget to push the blue light when you leave your room so that it gets cleaned. Value Rooms Location Cleanliness Service Sleep Quality"
??? ?,25-Aug,"The accommodating staff are pleasant, helpful and the cleanliness of the rooms is excellent. Thank you for your hospitality. As for the transportation of the camp, I hope to take into account the elderly, provide a transportation service and a drop-off area closer to the camp, the halving you halfway the rest of the distance is dangerous for the elderly in its vicinity. Thanks"
Shovon C,25-Aug,"This hotel truly stands out as one of the best in Mecca. The service is exceptional and every detail is taken care of. The 24/7 shuttle is a huge convenience, taking only 10 minutes to reach the Haram. I was particularly impressed with the amazing housekeeping service, thanks in large part to MD Salahuddin. The bellboy, Md Shohag, also did a wonderful job, going above and beyond to assist with all my transportation needs."
Hesham A,25-Aug,"?????????? ""My experience at the Marriott Jebel Omar Hotel is all the more special thanks to sister Tif, who is a high-quality professionalism with genuine taste and spirit. Their reception is not just a functional action, but a table of literature, respect and kindness, making the guest feel at home and home. Its friendly presence and careful guest comfort reflect a dazzling picture of the hotel, and it''s well worth it all."" Value Rooms Location Cleanliness Service Sleep Quality"
Akbar S,25-Aug,Everythings is execelent guest relations very nice and very hamble too in club lounge at 4th floor very nice with view masjidil haram Value Rooms Location Cleanliness Service Sleep Quality
Emad A,25-Aug,"All thanks and appreciation to your staff (Bader Nasr) for his safety, good morals and treatment with us and everyone was in the highest respect and dedication to work during our stay at the Marriott Hotel Value Rooms Location Cleanliness Service Sleep Quality"
Quest23230256322,25-Aug,"Very nice the staff, the room big everything ok close to kabbah with shuttle, very clean everything is perfect will come back here"
Zubair J,25-Aug,Excellent five star facility with good arrangement of services and professional staff endeavoring to serve their clientele Value Rooms Location Cleanliness Service Sleep Quality
Javairia A,25-Aug,"MaShaAllah the best hotel i have stayed in. Lovely staff, always here to help you. Housekeeping was very good, accommodated to our needs and times. Definitely recommend booking with the breakfast service, this was amazing MaShaAllah. Overall fantastic experience, couldn’t ask for anything more. 5/5. Value Rooms Location Cleanliness Service Sleep Quality"
Maria A,25-Aug,"Alhumdulillah the best hotel I’ve stayed at. Rooms were comfortable and kept to a high standard, ALL staff were friendly and approachable and eager to help! The buggy service provided by the hotel to the masjid really aided my elderly mother, otherwise a 10-15 minute walk. We had breakfast included and I would definitely recommend. Food was excellent with a huge variety of options (even gluten free!!). To be really specific, housekeeping staff were super hospital and always had a smile on their face Allahuma Barik. Chef Ghulam and Sajaat were also amazing in going above and beyond our expectations. Genuinely I would really recommend anyone to stay at this hotel. The level of comfort and quality of everything is unmatched. Insider tip: There are 22 floors however there are numerous lifts which come very quickly so not an issue. Value Rooms Location Cleanliness Service Sleep Quality"
Farog A,25-Aug,Excellent service. Our stay at Marriott was made very comfortable. I am sure to come back again very soon and recommend others to consider staying at Marriott. Value Rooms Location Cleanliness Service Sleep Quality
Minhaz B,25-Aug,Muhammad sohag was amazing and really really helpful to the last minute. Cleaners also amazing and great customer service
Wael E,25-Aug,"Fatima Sinai and taif alghmdi professional, and they provide very good service. I recommend everybody to come to this hotel."
Flyer10462511624,25-Aug,"Very nice stay at the Marriott Jebel Ali Hotel and loved everything near the field, cleanliness of the rooms, buffet, and the help of the staff and in particular the receptionist Agra Abdullah"
